Turkle.Username,Pilot.Data.Agreement,Pilot.Data.Average.Time,Entity.Typing.Agreement,Entity.Typing.Average.Time,Annotator.Score
asarkar9,0.5577507598784195,77,0.457382345782226,50,16.391163277701917
asolant1,0.6238532110091743,62,0.4126101410681603,82,15.093979553300205
azhang48,0.6609281437125748,74,0.48485953826357614,132,12.604639721699888
cbecraf3,0.6033434650455927,122,0.483033185990452,4347,5.056556983418047
drodri33,0.5741626794258373,51,0.5033816476826518,113,15.71279660019692
dstraus6,0.6276595744680851,92,0.4052033728276731,153,9.470774736698134
gvanatt1,0.5167173252279635,57,0.368558632337202,43,17.63634721665563
ilopezv1,0.5501519756838906,112,0.4810089569370605,104,9.537157335858122
jecker8,0.6137724550898204,96,0.3948275656455297,105,10.153725603809722
jgualla1,0.6625,80,0.48515627413560425,53,17.43514196482272
kkocian1,0.5820668693009119,98,0.48636764253491493,94,11.113581706763718
mhumph18,0.5980243161094225,145,0.4853953952603609,127,7.9463166146429
ohussei3,0.6405775075987842,201,0.4098069028578311,122,6.546025748367821
sarasha1,0.5389908256880734,103,0.42213803584081727,269,6.802207016338684
sparvat1,0.621580547112462,69,0.41442860477261684,100,13.152699773993735
sroy31,0.5998376623376623,55,0.4912194025448381,54,20.00279491791241
zshane1,0.6355140186915887,65,No IAA for entity_typing,No average time for entity_typing,No global score
